2020-01-06 13:48:59 T: 23.95 degC, P: 1022.32 hPa, H: 38.03 %rH, G: 25435 Ohms
2020-01-06 14:09:20 T: 24.30 degC, P: 1021.98 hPa, H: 37.46 %rH, G: 149021 Ohms
2020-01-06 14:09:25 T: 24.30 degC, P: 1022.02 hPa, H: 37.42 %rH, G: 148230 Ohms
2020-01-06 14:09:30 T: 24.30 degC, P: 1022.04 hPa, H: 37.41 %rH, G: 148889 Ohms
2020-01-06 14:09:35 T: 24.30 degC, P: 1022.02 hPa, H: 37.44 %rH, G: 149154 Ohms
2020-01-06 14:09:40 T: 24.31 degC, P: 1022.02 hPa, H: 37.41 %rH, G: 149287 Ohms
2020-01-06 14:09:45 T: 24.31 degC, P: 1022.02 hPa, H: 37.38 %rH, G: 150090 Ohms
2020-01-06 14:09:50 T: 24.31 degC, P: 1022.02 hPa, H: 37.38 %rH, G: 148361 Ohms
2020-01-06 14:09:55 T: 24.31 degC, P: 1022.00 hPa, H: 37.40 %rH, G: 148757 Ohms
2020-01-06 14:10:00 T: 24.31 degC, P: 1022.00 hPa, H: 37.36 %rH, G: 149554 Ohms
2020-01-06 14:10:05 T: 24.31 degC, P: 1022.00 hPa, H: 37.35 %rH, G: 148493 Ohms
2020-01-06 14:10:10 T: 24.31 degC, P: 1022.00 hPa, H: 37.38 %rH, G: 149021 Ohms
2020-01-06 14:10:15 T: 24.31 degC, P: 1022.00 hPa, H: 37.35 %rH, G: 149287 Ohms
2020-01-06 14:10:20 T: 24.31 degC, P: 1021.98 hPa, H: 37.33 %rH, G: 148757 Ohms
2020-01-06 14:10:25 T: 24.31 degC, P: 1021.98 hPa, H: 37.33 %rH, G: 149955 Ohms
2020-01-06 14:10:30 T: 24.31 degC, P: 1021.98 hPa, H: 37.31 %rH, G: 149420 Ohms
2020-01-06 14:10:35 T: 24.31 degC, P: 1021.98 hPa, H: 37.34 %rH, G: 149554 Ohms
2020-01-06 14:10:40 T: 24.31 degC, P: 1021.98 hPa, H: 37.35 %rH, G: 149021 Ohms
2020-01-06 14:10:45 T: 24.31 degC, P: 1022.00 hPa, H: 37.34 %rH, G: 149287 Ohms
2020-01-06 14:10:50 T: 24.32 degC, P: 1022.00 hPa, H: 37.36 %rH, G: 148625 Ohms
2020-01-06 14:10:55 T: 24.32 degC, P: 1021.98 hPa, H: 37.37 %rH, G: 148493 Ohms
2020-01-06 14:11:00 T: 24.32 degC, P: 1021.98 hPa, H: 37.38 %rH, G: 148493 Ohms
2020-01-06 14:11:05 T: 24.32 degC, P: 1021.98 hPa, H: 37.37 %rH, G: 148625 Ohms
2020-01-06 14:11:10 T: 24.32 degC, P: 1021.98 hPa, H: 37.35 %rH, G: 149154 Ohms
2020-01-06 14:11:15 T: 24.32 degC, P: 1022.00 hPa, H: 37.35 %rH, G: 149287 Ohms
2020-01-06 14:11:20 T: 24.32 degC, P: 1022.00 hPa, H: 37.36 %rH, G: 148230 Ohms
2020-01-06 14:11:25 T: 24.32 degC, P: 1022.00 hPa, H: 37.31 %rH, G: 149021 Ohms
2020-01-06 14:11:30 T: 24.32 degC, P: 1022.00 hPa, H: 37.29 %rH, G: 149287 Ohms
2020-01-06 14:11:35 T: 24.32 degC, P: 1022.00 hPa, H: 37.29 %rH, G: 150090 Ohms
2020-01-06 14:11:40 T: 24.32 degC, P: 1022.00 hPa, H: 37.28 %rH, G: 148757 Ohms
2020-01-06 14:11:45 T: 24.33 degC, P: 1022.00 hPa, H: 37.26 %rH, G: 149420 Ohms
2020-01-06 14:11:50 T: 24.33 degC, P: 1022.00 hPa, H: 37.41 %rH, G: 148230 Ohms
2020-01-06 14:11:55 T: 24.33 degC, P: 1021.98 hPa, H: 37.57 %rH, G: 148099 Ohms
2020-01-06 14:12:00 T: 24.33 degC, P: 1022.00 hPa, H: 37.55 %rH, G: 148757 Ohms
2020-01-06 14:12:05 T: 24.33 degC, P: 1021.98 hPa, H: 37.44 %rH, G: 149021 Ohms
2020-01-06 14:12:10 T: 24.33 degC, P: 1021.98 hPa, H: 37.33 %rH, G: 148099 Ohms
2020-01-06 14:12:15 T: 24.33 degC, P: 1021.98 hPa, H: 37.30 %rH, G: 148230 Ohms
2020-01-06 14:12:20 T: 24.33 degC, P: 1021.98 hPa, H: 37.29 %rH, G: 149287 Ohms
2020-01-06 14:12:25 T: 24.33 degC, P: 1021.96 hPa, H: 37.26 %rH, G: 148757 Ohms
2020-01-06 14:12:30 T: 24.33 degC, P: 1021.98 hPa, H: 37.29 %rH, G: 149287 Ohms
2020-01-06 14:12:35 T: 24.33 degC, P: 1021.96 hPa, H: 37.29 %rH, G: 148493 Ohms
2020-01-06 14:12:40 T: 24.33 degC, P: 1021.96 hPa, H: 37.31 %rH, G: 148757 Ohms
2020-01-06 14:12:45 T: 24.33 degC, P: 1021.96 hPa, H: 37.29 %rH, G: 148757 Ohms
2020-01-06 14:12:50 T: 24.33 degC, P: 1021.96 hPa, H: 37.31 %rH, G: 148757 Ohms
2020-01-06 14:12:55 T: 24.33 degC, P: 1021.96 hPa, H: 37.30 %rH, G: 148625 Ohms
2020-01-06 14:13:00 T: 24.33 degC, P: 1021.96 hPa, H: 37.37 %rH, G: 148889 Ohms
2020-01-06 14:13:05 T: 24.33 degC, P: 1021.96 hPa, H: 37.38 %rH, G: 148099 Ohms
2020-01-06 14:13:10 T: 24.33 degC, P: 1021.96 hPa, H: 37.33 %rH, G: 148757 Ohms
2020-01-06 14:13:15 T: 24.33 degC, P: 1021.98 hPa, H: 37.24 %rH, G: 148230 Ohms
2020-01-06 14:13:20 T: 24.32 degC, P: 1021.98 hPa, H: 37.22 %rH, G: 149554 Ohms
2020-01-06 14:13:25 T: 24.32 degC, P: 1021.98 hPa, H: 37.21 %rH, G: 149955 Ohms
2020-01-06 14:13:30 T: 24.32 degC, P: 1021.98 hPa, H: 37.21 %rH, G: 148757 Ohms
2020-01-06 14:13:35 T: 24.32 degC, P: 1021.98 hPa, H: 37.27 %rH, G: 148757 Ohms
2020-01-06 14:13:40 T: 24.32 degC, P: 1021.96 hPa, H: 37.32 %rH, G: 148889 Ohms
2020-01-06 14:13:45 T: 24.33 degC, P: 1021.96 hPa, H: 37.31 %rH, G: 148361 Ohms
2020-01-06 14:13:50 T: 24.33 degC, P: 1021.96 hPa, H: 37.25 %rH, G: 147707 Ohms
2020-01-06 14:13:55 T: 24.33 degC, P: 1021.96 hPa, H: 37.24 %rH, G: 148625 Ohms
2020-01-06 14:14:00 T: 24.33 degC, P: 1021.96 hPa, H: 37.25 %rH, G: 149021 Ohms
2020-01-06 14:14:05 T: 24.33 degC, P: 1021.94 hPa, H: 37.24 %rH, G: 148493 Ohms
2020-01-06 14:14:10 T: 24.33 degC, P: 1021.94 hPa, H: 37.24 %rH, G: 149021 Ohms
2020-01-06 14:14:15 T: 24.33 degC, P: 1021.94 hPa, H: 37.27 %rH, G: 148361 Ohms
2020-01-06 14:14:20 T: 24.34 degC, P: 1021.94 hPa, H: 37.23 %rH, G: 149021 Ohms
2020-01-06 14:14:26 T: 24.34 degC, P: 1021.96 hPa, H: 37.17 %rH, G: 147059 Ohms
2020-01-06 14:14:31 T: 24.34 degC, P: 1021.94 hPa, H: 37.16 %rH, G: 147968 Ohms
2020-01-06 14:14:36 T: 24.34 degC, P: 1021.94 hPa, H: 37.15 %rH, G: 146673 Ohms
2020-01-06 14:14:41 T: 24.34 degC, P: 1021.94 hPa, H: 37.14 %rH, G: 148099 Ohms
2020-01-06 14:14:46 T: 24.34 degC, P: 1021.94 hPa, H: 37.17 %rH, G: 147968 Ohms
2020-01-06 14:14:52 T: 24.34 degC, P: 1021.96 hPa, H: 37.24 %rH, G: 145022 Ohms
2020-01-06 14:14:57 T: 24.34 degC, P: 1021.94 hPa, H: 37.25 %rH, G: 146544 Ohms
2020-01-06 14:15:02 T: 24.34 degC, P: 1021.94 hPa, H: 37.23 %rH, G: 147188 Ohms
2020-01-06 14:15:07 T: 24.34 degC, P: 1021.94 hPa, H: 37.21 %rH, G: 147447 Ohms
2020-01-06 14:15:12 T: 24.34 degC, P: 1021.92 hPa, H: 37.21 %rH, G: 147447 Ohms
2020-01-06 14:15:17 T: 24.35 degC, P: 1021.92 hPa, H: 37.25 %rH, G: 146930 Ohms
2020-01-06 14:15:22 T: 24.35 degC, P: 1021.92 hPa, H: 37.23 %rH, G: 147577 Ohms
2020-01-06 14:15:27 T: 24.35 degC, P: 1021.92 hPa, H: 37.23 %rH, G: 147059 Ohms
2020-01-06 14:15:32 T: 24.35 degC, P: 1021.91 hPa, H: 37.24 %rH, G: 147188 Ohms
2020-01-06 14:15:37 T: 24.35 degC, P: 1021.91 hPa, H: 37.25 %rH, G: 148230 Ohms
2020-01-06 14:15:42 T: 24.35 degC, P: 1021.91 hPa, H: 37.24 %rH, G: 147447 Ohms
2020-01-06 14:15:47 T: 24.35 degC, P: 1021.89 hPa, H: 37.25 %rH, G: 145779 Ohms
2020-01-06 14:15:52 T: 24.35 degC, P: 1021.89 hPa, H: 37.21 %rH, G: 147707 Ohms
2020-01-06 14:15:57 T: 24.35 degC, P: 1021.89 hPa, H: 37.22 %rH, G: 148099 Ohms
2020-01-06 14:16:02 T: 24.35 degC, P: 1021.89 hPa, H: 37.20 %rH, G: 147968 Ohms
2020-01-06 14:16:07 T: 24.35 degC, P: 1021.89 hPa, H: 37.20 %rH, G: 147707 Ohms
2020-01-06 14:16:12 T: 24.35 degC, P: 1021.89 hPa, H: 37.17 %rH, G: 147707 Ohms
2020-01-06 14:16:17 T: 24.35 degC, P: 1021.89 hPa, H: 37.20 %rH, G: 147188 Ohms
2020-01-06 14:16:22 T: 24.35 degC, P: 1021.89 hPa, H: 37.16 %rH, G: 147838 Ohms
2020-01-06 14:16:27 T: 24.35 degC, P: 1021.87 hPa, H: 37.13 %rH, G: 147707 Ohms
2020-01-06 14:16:32 T: 24.35 degC, P: 1021.87 hPa, H: 37.15 %rH, G: 147838 Ohms
2020-01-06 14:16:37 T: 24.35 degC, P: 1021.87 hPa, H: 37.18 %rH, G: 147838 Ohms
2020-01-06 14:16:42 T: 24.35 degC, P: 1021.87 hPa, H: 37.16 %rH, G: 147447 Ohms
2020-01-06 14:16:47 T: 24.34 degC, P: 1021.87 hPa, H: 37.14 %rH, G: 147838 Ohms
2020-01-06 14:16:52 T: 24.34 degC, P: 1021.89 hPa, H: 37.14 %rH, G: 147968 Ohms
2020-01-06 14:16:57 T: 24.34 degC, P: 1021.89 hPa, H: 37.15 %rH, G: 148099 Ohms
2020-01-06 14:17:02 T: 24.34 degC, P: 1021.87 hPa, H: 37.13 %rH, G: 148889 Ohms
2020-01-06 14:17:07 T: 24.34 degC, P: 1021.87 hPa, H: 37.13 %rH, G: 148230 Ohms
2020-01-06 14:17:12 T: 24.33 degC, P: 1021.87 hPa, H: 37.14 %rH, G: 148361 Ohms
2020-01-06 14:17:17 T: 24.33 degC, P: 1021.87 hPa, H: 37.15 %rH, G: 147838 Ohms
2020-01-06 14:17:22 T: 24.33 degC, P: 1021.87 hPa, H: 37.13 %rH, G: 147968 Ohms
2020-01-06 14:17:27 T: 24.33 degC, P: 1021.87 hPa, H: 37.11 %rH, G: 147968 Ohms
2020-01-06 14:17:32 T: 24.33 degC, P: 1021.87 hPa, H: 37.15 %rH, G: 147707 Ohms
2020-01-06 14:17:37 T: 24.33 degC, P: 1021.85 hPa, H: 37.18 %rH, G: 148099 Ohms
2020-01-06 14:17:42 T: 24.32 degC, P: 1021.85 hPa, H: 37.22 %rH, G: 147447 Ohms
2020-01-06 14:17:47 T: 24.32 degC, P: 1021.83 hPa, H: 37.20 %rH, G: 147707 Ohms
2020-01-06 14:17:52 T: 24.32 degC, P: 1021.83 hPa, H: 37.16 %rH, G: 147838 Ohms
2020-01-06 14:17:57 T: 24.32 degC, P: 1021.83 hPa, H: 37.18 %rH, G: 146801 Ohms
2020-01-06 14:18:02 T: 24.31 degC, P: 1021.83 hPa, H: 37.22 %rH, G: 147447 Ohms
2020-01-06 14:18:07 T: 24.31 degC, P: 1021.81 hPa, H: 37.20 %rH, G: 147838 Ohms
2020-01-06 14:18:12 T: 24.31 degC, P: 1021.81 hPa, H: 37.22 %rH, G: 148099 Ohms
2020-01-06 14:18:17 T: 24.30 degC, P: 1021.83 hPa, H: 37.22 %rH, G: 147707 Ohms
2020-01-06 14:18:22 T: 24.30 degC, P: 1021.83 hPa, H: 37.24 %rH, G: 147838 Ohms
2020-01-06 14:18:27 T: 24.30 degC, P: 1021.77 hPa, H: 37.25 %rH, G: 146801 Ohms
2020-01-06 14:18:32 T: 24.30 degC, P: 1021.77 hPa, H: 37.32 %rH, G: 147188 Ohms
2020-01-06 14:18:37 T: 24.29 degC, P: 1021.77 hPa, H: 37.28 %rH, G: 147447 Ohms
2020-01-06 14:18:42 T: 24.29 degC, P: 1021.79 hPa, H: 37.28 %rH, G: 148757 Ohms
2020-01-06 14:18:47 T: 24.29 degC, P: 1021.77 hPa, H: 37.26 %rH, G: 148099 Ohms
2020-01-06 14:18:52 T: 24.29 degC, P: 1021.79 hPa, H: 37.29 %rH, G: 148230 Ohms
2020-01-06 14:18:57 T: 24.29 degC, P: 1021.79 hPa, H: 37.29 %rH, G: 148625 Ohms
2020-01-06 14:19:02 T: 24.29 degC, P: 1021.79 hPa, H: 37.34 %rH, G: 147838 Ohms
2020-01-06 14:19:07 T: 24.29 degC, P: 1021.77 hPa, H: 37.35 %rH, G: 146930 Ohms
2020-01-06 14:19:12 T: 24.28 degC, P: 1021.77 hPa, H: 37.36 %rH, G: 147968 Ohms
2020-01-06 14:19:17 T: 24.28 degC, P: 1021.79 hPa, H: 37.35 %rH, G: 147577 Ohms
2020-01-06 14:19:22 T: 24.28 degC, P: 1021.77 hPa, H: 37.31 %rH, G: 147838 Ohms
2020-01-06 14:19:27 T: 24.27 degC, P: 1021.77 hPa, H: 37.25 %rH, G: 148099 Ohms
2020-01-06 14:19:32 T: 24.27 degC, P: 1021.77 hPa, H: 37.26 %rH, G: 147318 Ohms
2020-01-06 14:19:37 T: 24.27 degC, P: 1021.79 hPa, H: 37.20 %rH, G: 148889 Ohms
2020-01-06 14:19:42 T: 24.26 degC, P: 1021.79 hPa, H: 37.14 %rH, G: 148625 Ohms
2020-01-06 14:19:47 T: 24.26 degC, P: 1021.79 hPa, H: 37.19 %rH, G: 147968 Ohms
2020-01-06 14:19:52 T: 24.26 degC, P: 1021.79 hPa, H: 37.27 %rH, G: 147968 Ohms
2020-01-06 14:19:57 T: 24.26 degC, P: 1021.79 hPa, H: 37.35 %rH, G: 147707 Ohms
2020-01-06 14:20:02 T: 24.26 degC, P: 1021.77 hPa, H: 37.41 %rH, G: 147447 Ohms
2020-01-06 14:20:07 T: 24.26 degC, P: 1021.77 hPa, H: 37.43 %rH, G: 148099 Ohms
2020-01-06 14:20:12 T: 24.26 degC, P: 1021.77 hPa, H: 37.42 %rH, G: 147188 Ohms
2020-01-06 14:20:17 T: 24.26 degC, P: 1021.79 hPa, H: 37.43 %rH, G: 147188 Ohms
2020-01-06 14:20:22 T: 24.26 degC, P: 1021.81 hPa, H: 37.43 %rH, G: 147318 Ohms
2020-01-06 14:20:27 T: 24.26 degC, P: 1021.81 hPa, H: 37.46 %rH, G: 147447 Ohms
2020-01-06 14:20:32 T: 24.27 degC, P: 1021.81 hPa, H: 37.48 %rH, G: 147577 Ohms
2020-01-06 14:20:37 T: 24.27 degC, P: 1021.79 hPa, H: 37.56 %rH, G: 146801 Ohms
2020-01-06 14:20:42 T: 24.27 degC, P: 1021.79 hPa, H: 37.60 %rH, G: 147188 Ohms
2020-01-06 14:20:47 T: 24.28 degC, P: 1021.79 hPa, H: 37.61 %rH, G: 147447 Ohms
2020-01-06 14:20:52 T: 24.28 degC, P: 1021.81 hPa, H: 37.61 %rH, G: 146930 Ohms
2020-01-06 14:20:57 T: 24.29 degC, P: 1021.79 hPa, H: 37.52 %rH, G: 147447 Ohms
2020-01-06 14:21:02 T: 24.29 degC, P: 1021.79 hPa, H: 37.46 %rH, G: 147188 Ohms
2020-01-06 14:21:07 T: 24.30 degC, P: 1021.79 hPa, H: 37.46 %rH, G: 147188 Ohms
2020-01-06 14:21:12 T: 24.30 degC, P: 1021.83 hPa, H: 37.42 %rH, G: 147447 Ohms
2020-01-06 14:21:17 T: 24.31 degC, P: 1021.83 hPa, H: 37.43 %rH, G: 147707 Ohms
2020-01-06 14:21:22 T: 24.31 degC, P: 1021.83 hPa, H: 37.41 %rH, G: 147838 Ohms
2020-01-06 14:21:27 T: 24.32 degC, P: 1021.83 hPa, H: 37.35 %rH, G: 147447 Ohms
2020-01-06 14:21:32 T: 24.32 degC, P: 1021.81 hPa, H: 37.35 %rH, G: 147577 Ohms
2020-01-06 14:21:37 T: 24.32 degC, P: 1021.83 hPa, H: 37.35 %rH, G: 148361 Ohms
2020-01-06 14:21:42 T: 24.33 degC, P: 1021.83 hPa, H: 37.33 %rH, G: 146930 Ohms
2020-01-06 14:21:47 T: 24.33 degC, P: 1021.83 hPa, H: 37.28 %rH, G: 147838 Ohms
2020-01-06 14:21:52 T: 24.33 degC, P: 1021.81 hPa, H: 37.23 %rH, G: 147447 Ohms
2020-01-06 14:21:57 T: 24.33 degC, P: 1021.81 hPa, H: 37.24 %rH, G: 147838 Ohms
2020-01-06 14:22:02 T: 24.34 degC, P: 1021.81 hPa, H: 37.27 %rH, G: 147318 Ohms
2020-01-06 14:22:07 T: 24.34 degC, P: 1021.85 hPa, H: 37.35 %rH, G: 146673 Ohms
2020-01-06 14:22:12 T: 24.34 degC, P: 1021.83 hPa, H: 37.32 %rH, G: 146544 Ohms
2020-01-06 14:22:17 T: 24.35 degC, P: 1021.81 hPa, H: 37.31 %rH, G: 145652 Ohms
2020-01-06 14:22:22 T: 24.35 degC, P: 1021.81 hPa, H: 37.31 %rH, G: 147968 Ohms
2020-01-06 14:22:27 T: 24.35 degC, P: 1021.79 hPa, H: 37.24 %rH, G: 147577 Ohms
2020-01-06 14:22:32 T: 24.35 degC, P: 1021.81 hPa, H: 37.20 %rH, G: 147447 Ohms
2020-01-06 14:22:37 T: 24.36 degC, P: 1021.79 hPa, H: 37.21 %rH, G: 147447 Ohms
2020-01-06 14:22:43 T: 24.36 degC, P: 1021.83 hPa, H: 37.23 %rH, G: 147447 Ohms
2020-01-06 14:22:48 T: 24.36 degC, P: 1021.81 hPa, H: 37.21 %rH, G: 148099 Ohms
2020-01-06 14:22:53 T: 24.36 degC, P: 1021.81 hPa, H: 37.19 %rH, G: 147577 Ohms
2020-01-06 14:22:58 T: 24.36 degC, P: 1021.81 hPa, H: 37.24 %rH, G: 146673 Ohms
2020-01-06 14:23:03 T: 24.37 degC, P: 1021.79 hPa, H: 37.29 %rH, G: 146416 Ohms
2020-01-06 14:23:08 T: 24.37 degC, P: 1021.77 hPa, H: 37.28 %rH, G: 147188 Ohms
2020-01-06 14:23:13 T: 24.37 degC, P: 1021.77 hPa, H: 37.24 %rH, G: 147059 Ohms
2020-01-06 14:23:18 T: 24.38 degC, P: 1021.75 hPa, H: 37.20 %rH, G: 146930 Ohms
2020-01-06 14:23:23 T: 24.38 degC, P: 1021.75 hPa, H: 37.14 %rH, G: 147707 Ohms
2020-01-06 14:23:28 T: 24.38 degC, P: 1021.75 hPa, H: 37.07 %rH, G: 147447 Ohms
2020-01-06 14:23:33 T: 24.38 degC, P: 1021.77 hPa, H: 37.08 %rH, G: 147318 Ohms
2020-01-06 14:23:38 T: 24.38 degC, P: 1021.77 hPa, H: 37.10 %rH, G: 147707 Ohms
2020-01-06 14:23:43 T: 24.38 degC, P: 1021.75 hPa, H: 37.15 %rH, G: 146930 Ohms
2020-01-06 14:23:48 T: 24.38 degC, P: 1021.75 hPa, H: 37.18 %rH, G: 147059 Ohms
2020-01-06 14:23:53 T: 24.38 degC, P: 1021.75 hPa, H: 37.17 %rH, G: 147577 Ohms
2020-01-06 14:23:58 T: 24.38 degC, P: 1021.77 hPa, H: 37.11 %rH, G: 147059 Ohms
2020-01-06 14:24:03 T: 24.38 degC, P: 1021.77 hPa, H: 37.06 %rH, G: 147188 Ohms
2020-01-06 14:24:08 T: 24.38 degC, P: 1021.77 hPa, H: 37.04 %rH, G: 146930 Ohms
2020-01-06 14:24:13 T: 24.38 degC, P: 1021.75 hPa, H: 37.13 %rH, G: 147577 Ohms
2020-01-06 14:24:18 T: 24.38 degC, P: 1021.75 hPa, H: 37.21 %rH, G: 146288 Ohms
2020-01-06 14:24:23 T: 24.38 degC, P: 1021.75 hPa, H: 37.28 %rH, G: 146673 Ohms
2020-01-06 14:24:28 T: 24.38 degC, P: 1021.75 hPa, H: 37.24 %rH, G: 146033 Ohms
2020-01-06 14:24:33 T: 24.38 degC, P: 1021.75 hPa, H: 37.22 %rH, G: 146161 Ohms
2020-01-06 14:24:38 T: 24.38 degC, P: 1021.75 hPa, H: 37.23 %rH, G: 146288 Ohms
2020-01-06 14:24:43 T: 24.38 degC, P: 1021.75 hPa, H: 37.24 %rH, G: 146161 Ohms
2020-01-06 14:24:48 T: 24.38 degC, P: 1021.75 hPa, H: 37.22 %rH, G: 146930 Ohms
2020-01-06 14:24:53 T: 24.38 degC, P: 1021.75 hPa, H: 37.21 %rH, G: 146288 Ohms
2020-01-06 14:24:58 T: 24.38 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 146801 Ohms
2020-01-06 14:25:03 T: 24.38 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 146288 Ohms
2020-01-06 14:25:08 T: 24.38 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 146288 Ohms
2020-01-06 14:25:13 T: 24.38 degC, P: 1021.75 hPa, H: 37.22 %rH, G: 146930 Ohms
2020-01-06 14:25:18 T: 24.38 degC, P: 1021.73 hPa, H: 37.22 %rH, G: 147318 Ohms
2020-01-06 14:25:23 T: 24.38 degC, P: 1021.75 hPa, H: 37.20 %rH, G: 146416 Ohms
2020-01-06 14:25:28 T: 24.38 degC, P: 1021.75 hPa, H: 37.24 %rH, G: 147059 Ohms
2020-01-06 14:25:33 T: 24.38 degC, P: 1021.75 hPa, H: 37.23 %rH, G: 147447 Ohms
2020-01-06 14:25:38 T: 24.38 degC, P: 1021.75 hPa, H: 37.23 %rH, G: 146801 Ohms
2020-01-06 14:25:43 T: 24.38 degC, P: 1021.75 hPa, H: 37.21 %rH, G: 147318 Ohms
2020-01-06 14:25:48 T: 24.38 degC, P: 1021.75 hPa, H: 37.24 %rH, G: 146161 Ohms
2020-01-06 14:25:53 T: 24.38 degC, P: 1021.75 hPa, H: 37.28 %rH, G: 146033 Ohms
2020-01-06 14:25:58 T: 24.38 degC, P: 1021.75 hPa, H: 37.29 %rH, G: 145652 Ohms
2020-01-06 14:26:03 T: 24.39 degC, P: 1021.77 hPa, H: 37.29 %rH, G: 146033 Ohms
2020-01-06 14:26:08 T: 24.39 degC, P: 1021.75 hPa, H: 37.30 %rH, G: 146161 Ohms
2020-01-06 14:26:13 T: 24.39 degC, P: 1021.75 hPa, H: 37.32 %rH, G: 144646 Ohms
2020-01-06 14:26:18 T: 24.39 degC, P: 1021.75 hPa, H: 37.25 %rH, G: 146416 Ohms
2020-01-06 14:26:23 T: 24.39 degC, P: 1021.75 hPa, H: 37.22 %rH, G: 145906 Ohms
2020-01-06 14:26:28 T: 24.39 degC, P: 1021.73 hPa, H: 37.23 %rH, G: 145906 Ohms
2020-01-06 14:26:33 T: 24.39 degC, P: 1021.73 hPa, H: 37.24 %rH, G: 145779 Ohms
2020-01-06 14:26:38 T: 24.39 degC, P: 1021.73 hPa, H: 37.26 %rH, G: 146801 Ohms
2020-01-06 14:26:43 T: 24.39 degC, P: 1021.73 hPa, H: 37.32 %rH, G: 146033 Ohms
2020-01-06 14:26:48 T: 24.39 degC, P: 1021.73 hPa, H: 37.35 %rH, G: 146416 Ohms
2020-01-06 14:26:53 T: 24.39 degC, P: 1021.75 hPa, H: 37.34 %rH, G: 146161 Ohms
2020-01-06 14:26:58 T: 24.39 degC, P: 1021.73 hPa, H: 37.32 %rH, G: 145779 Ohms
2020-01-06 14:27:03 T: 24.39 degC, P: 1021.75 hPa, H: 37.31 %rH, G: 145652 Ohms
2020-01-06 14:27:08 T: 24.39 degC, P: 1021.73 hPa, H: 37.33 %rH, G: 146288 Ohms
2020-01-06 14:27:13 T: 24.39 degC, P: 1021.73 hPa, H: 37.34 %rH, G: 145652 Ohms
2020-01-06 14:27:18 T: 24.39 degC, P: 1021.73 hPa, H: 37.34 %rH, G: 145273 Ohms
2020-01-06 14:27:23 T: 24.39 degC, P: 1021.75 hPa, H: 37.30 %rH, G: 145652 Ohms
2020-01-06 14:27:28 T: 24.40 degC, P: 1021.75 hPa, H: 37.32 %rH, G: 145779 Ohms
2020-01-06 14:27:33 T: 24.40 degC, P: 1021.77 hPa, H: 37.34 %rH, G: 144771 Ohms
2020-01-06 14:27:38 T: 24.40 degC, P: 1021.77 hPa, H: 37.31 %rH, G: 145147 Ohms
2020-01-06 14:27:43 T: 24.40 degC, P: 1021.77 hPa, H: 37.34 %rH, G: 144771 Ohms
2020-01-06 14:27:48 T: 24.40 degC, P: 1021.77 hPa, H: 37.37 %rH, G: 145526 Ohms
2020-01-06 14:27:53 T: 24.41 degC, P: 1021.75 hPa, H: 37.42 %rH, G: 144896 Ohms
2020-01-06 14:27:58 T: 24.41 degC, P: 1021.73 hPa, H: 37.45 %rH, G: 144148 Ohms
2020-01-06 14:28:03 T: 24.41 degC, P: 1021.73 hPa, H: 37.47 %rH, G: 144646 Ohms
2020-01-06 14:28:08 T: 24.42 degC, P: 1021.77 hPa, H: 37.33 %rH, G: 145022 Ohms
2020-01-06 14:28:13 T: 24.42 degC, P: 1021.77 hPa, H: 37.24 %rH, G: 144896 Ohms
2020-01-06 14:28:18 T: 24.42 degC, P: 1021.77 hPa, H: 37.18 %rH, G: 146161 Ohms
2020-01-06 14:28:23 T: 24.42 degC, P: 1021.77 hPa, H: 37.12 %rH, G: 145147 Ohms
2020-01-06 14:28:28 T: 24.42 degC, P: 1021.77 hPa, H: 37.12 %rH, G: 146673 Ohms
2020-01-06 14:28:33 T: 24.42 degC, P: 1021.77 hPa, H: 37.18 %rH, G: 145147 Ohms
2020-01-06 14:28:38 T: 24.42 degC, P: 1021.77 hPa, H: 37.26 %rH, G: 145273 Ohms
2020-01-06 14:28:43 T: 24.42 degC, P: 1021.77 hPa, H: 37.21 %rH, G: 145526 Ohms
2020-01-06 14:28:48 T: 24.43 degC, P: 1021.75 hPa, H: 37.19 %rH, G: 145022 Ohms
2020-01-06 14:28:53 T: 24.43 degC, P: 1021.75 hPa, H: 37.14 %rH, G: 145399 Ohms
2020-01-06 14:28:58 T: 24.43 degC, P: 1021.75 hPa, H: 37.12 %rH, G: 145526 Ohms
2020-01-06 14:29:03 T: 24.43 degC, P: 1021.73 hPa, H: 37.13 %rH, G: 146033 Ohms
2020-01-06 14:29:08 T: 24.43 degC, P: 1021.73 hPa, H: 37.18 %rH, G: 145147 Ohms
2020-01-06 14:29:13 T: 24.43 degC, P: 1021.73 hPa, H: 37.22 %rH, G: 144397 Ohms
2020-01-06 14:29:18 T: 24.43 degC, P: 1021.73 hPa, H: 37.26 %rH, G: 145022 Ohms
2020-01-06 14:29:23 T: 24.43 degC, P: 1021.73 hPa, H: 37.26 %rH, G: 144646 Ohms
2020-01-06 14:29:28 T: 24.43 degC, P: 1021.73 hPa, H: 37.27 %rH, G: 143900 Ohms
2020-01-06 14:29:33 T: 24.44 degC, P: 1021.77 hPa, H: 37.25 %rH, G: 144896 Ohms
2020-01-06 14:29:38 T: 24.43 degC, P: 1021.71 hPa, H: 37.20 %rH, G: 144646 Ohms
