2020-01-16 09:37:47 T: 22.91 degC, P: 1023.88 hPa, H: 38.78 %rH, G: 131890 Ohms
2020-01-16 13:29:52 T: 28.01 degC, P: 1021.81 hPa, H: 31.29 %rH, G: 129244 Ohms
2020-01-16 13:29:47 T: 28.08 degC, P: 1021.79 hPa, H: 31.22 %rH, G: 129045 Ohms
2020-01-16 13:29:42 T: 28.13 degC, P: 1021.81 hPa, H: 31.24 %rH, G: 127570 Ohms
2020-01-16 13:29:37 T: 28.15 degC, P: 1021.81 hPa, H: 31.25 %rH, G: 129544 Ohms
2020-01-16 13:29:32 T: 28.14 degC, P: 1021.79 hPa, H: 31.24 %rH, G: 129045 Ohms
2020-01-16 13:29:27 T: 28.17 degC, P: 1021.79 hPa, H: 31.23 %rH, G: 128254 Ohms
2020-01-16 13:29:22 T: 28.17 degC, P: 1021.81 hPa, H: 31.19 %rH, G: 128846 Ohms
2020-01-16 13:29:17 T: 28.17 degC, P: 1021.81 hPa, H: 31.18 %rH, G: 128156 Ohms
2020-01-16 13:29:12 T: 28.18 degC, P: 1021.79 hPa, H: 31.20 %rH, G: 127570 Ohms
2020-01-16 13:29:07 T: 28.16 degC, P: 1021.81 hPa, H: 31.23 %rH, G: 128550 Ohms
2020-01-16 13:29:02 T: 28.13 degC, P: 1021.81 hPa, H: 31.27 %rH, G: 128550 Ohms
2020-01-16 13:28:57 T: 28.09 degC, P: 1021.83 hPa, H: 31.26 %rH, G: 129144 Ohms
2020-01-16 13:28:52 T: 28.09 degC, P: 1021.83 hPa, H: 31.22 %rH, G: 128254 Ohms
2020-01-16 13:28:47 T: 28.12 degC, P: 1021.83 hPa, H: 31.21 %rH, G: 129244 Ohms
2020-01-16 13:28:42 T: 28.13 degC, P: 1021.83 hPa, H: 31.13 %rH, G: 128352 Ohms
2020-01-16 13:28:37 T: 28.18 degC, P: 1021.81 hPa, H: 31.08 %rH, G: 128156 Ohms
2020-01-16 13:28:32 T: 28.22 degC, P: 1021.83 hPa, H: 31.05 %rH, G: 128058 Ohms
2020-01-16 13:28:27 T: 28.23 degC, P: 1021.85 hPa, H: 31.07 %rH, G: 128451 Ohms
2020-01-16 13:28:22 T: 28.22 degC, P: 1021.83 hPa, H: 31.12 %rH, G: 128058 Ohms
2020-01-16 13:28:17 T: 28.19 degC, P: 1021.83 hPa, H: 31.17 %rH, G: 128156 Ohms
2020-01-16 13:28:12 T: 28.14 degC, P: 1021.83 hPa, H: 31.26 %rH, G: 128254 Ohms
2020-01-16 13:28:07 T: 28.09 degC, P: 1021.87 hPa, H: 31.32 %rH, G: 128550 Ohms
2020-01-16 13:28:02 T: 28.07 degC, P: 1021.83 hPa, H: 31.38 %rH, G: 127570 Ohms
2020-01-16 13:27:57 T: 28.05 degC, P: 1021.85 hPa, H: 31.39 %rH, G: 128550 Ohms
2020-01-16 13:27:52 T: 28.05 degC, P: 1021.85 hPa, H: 31.39 %rH, G: 128648 Ohms
2020-01-16 13:27:47 T: 28.05 degC, P: 1021.85 hPa, H: 31.33 %rH, G: 127570 Ohms
2020-01-16 13:27:42 T: 28.05 degC, P: 1021.85 hPa, H: 31.32 %rH, G: 128058 Ohms
2020-01-16 13:27:37 T: 28.03 degC, P: 1021.87 hPa, H: 31.36 %rH, G: 127668 Ohms
2020-01-16 13:27:32 T: 28.00 degC, P: 1021.87 hPa, H: 31.48 %rH, G: 128156 Ohms
2020-01-16 13:27:27 T: 27.92 degC, P: 1021.87 hPa, H: 31.56 %rH, G: 128352 Ohms
2020-01-16 13:27:22 T: 27.87 degC, P: 1021.89 hPa, H: 31.63 %rH, G: 129544 Ohms
2020-01-16 13:27:17 T: 27.84 degC, P: 1021.91 hPa, H: 31.69 %rH, G: 128648 Ohms
2020-01-16 13:27:11 T: 27.84 degC, P: 1021.91 hPa, H: 31.68 %rH, G: 128058 Ohms
2020-01-16 13:27:06 T: 27.84 degC, P: 1021.91 hPa, H: 31.64 %rH, G: 127765 Ohms
2020-01-16 13:27:01 T: 27.85 degC, P: 1021.91 hPa, H: 31.56 %rH, G: 128156 Ohms
2020-01-16 13:26:56 T: 27.91 degC, P: 1021.89 hPa, H: 31.46 %rH, G: 126606 Ohms
2020-01-16 13:26:51 T: 27.96 degC, P: 1021.89 hPa, H: 31.34 %rH, G: 127183 Ohms
2020-01-16 13:26:46 T: 28.02 degC, P: 1021.87 hPa, H: 31.24 %rH, G: 126225 Ohms
2020-01-16 13:26:41 T: 28.09 degC, P: 1021.89 hPa, H: 31.18 %rH, G: 125374 Ohms
2020-01-16 13:26:36 T: 28.16 degC, P: 1021.87 hPa, H: 31.18 %rH, G: 124166 Ohms
2020-01-16 13:26:31 T: 28.19 degC, P: 1021.87 hPa, H: 31.29 %rH, G: 122352 Ohms
2020-01-16 13:26:26 T: 28.20 degC, P: 1021.87 hPa, H: 31.49 %rH, G: 120417 Ohms
2020-01-16 13:26:21 T: 28.18 degC, P: 1021.87 hPa, H: 31.68 %rH, G: 118626 Ohms
2020-01-16 13:26:16 T: 28.17 degC, P: 1021.89 hPa, H: 31.67 %rH, G: 114413 Ohms
2020-01-16 13:26:11 T: 28.13 degC, P: 1021.89 hPa, H: 31.40 %rH, G: 111592 Ohms
2020-01-16 13:26:06 T: 28.08 degC, P: 1021.85 hPa, H: 31.30 %rH, G: 129444 Ohms
2020-01-16 13:25:54 T: 28.00 degC, P: 1021.89 hPa, H: 31.46 %rH, G: 129644 Ohms
2020-01-16 13:25:49 T: 27.89 degC, P: 1021.91 hPa, H: 31.60 %rH, G: 129744 Ohms
2020-01-16 13:25:44 T: 27.77 degC, P: 1021.87 hPa, H: 31.72 %rH, G: 131476 Ohms
2020-01-16 13:25:39 T: 27.67 degC, P: 1021.91 hPa, H: 31.83 %rH, G: 131167 Ohms
2020-01-16 13:25:34 T: 27.59 degC, P: 1021.89 hPa, H: 31.96 %rH, G: 131890 Ohms
2020-01-16 13:25:29 T: 27.52 degC, P: 1021.92 hPa, H: 32.09 %rH, G: 132202 Ohms
2020-01-16 13:25:24 T: 27.45 degC, P: 1021.91 hPa, H: 32.18 %rH, G: 132516 Ohms
2020-01-16 13:25:19 T: 27.41 degC, P: 1021.92 hPa, H: 32.26 %rH, G: 131890 Ohms
2020-01-16 13:25:14 T: 27.37 degC, P: 1021.91 hPa, H: 32.28 %rH, G: 132621 Ohms
2020-01-16 13:25:09 T: 27.34 degC, P: 1021.94 hPa, H: 32.30 %rH, G: 133042 Ohms
2020-01-16 13:25:04 T: 27.36 degC, P: 1021.92 hPa, H: 32.31 %rH, G: 132411 Ohms
2020-01-16 13:24:59 T: 27.38 degC, P: 1021.91 hPa, H: 32.28 %rH, G: 133042 Ohms
2020-01-16 13:24:54 T: 27.41 degC, P: 1021.94 hPa, H: 32.28 %rH, G: 131682 Ohms
2020-01-16 13:24:49 T: 27.42 degC, P: 1021.92 hPa, H: 32.29 %rH, G: 131682 Ohms
2020-01-16 13:24:44 T: 27.43 degC, P: 1021.96 hPa, H: 32.29 %rH, G: 132098 Ohms
2020-01-16 13:24:39 T: 27.44 degC, P: 1021.94 hPa, H: 32.27 %rH, G: 132411 Ohms
2020-01-16 13:24:34 T: 27.46 degC, P: 1021.96 hPa, H: 32.26 %rH, G: 132098 Ohms
2020-01-16 13:24:29 T: 27.48 degC, P: 1021.96 hPa, H: 32.23 %rH, G: 132306 Ohms
2020-01-16 13:24:24 T: 27.51 degC, P: 1021.96 hPa, H: 32.22 %rH, G: 131373 Ohms
2020-01-16 13:24:19 T: 27.50 degC, P: 1021.96 hPa, H: 32.20 %rH, G: 131994 Ohms
2020-01-16 13:24:14 T: 27.51 degC, P: 1021.94 hPa, H: 32.20 %rH, G: 132202 Ohms
2020-01-16 13:24:09 T: 27.51 degC, P: 1021.96 hPa, H: 32.26 %rH, G: 131890 Ohms
2020-01-16 13:24:04 T: 27.47 degC, P: 1021.96 hPa, H: 32.34 %rH, G: 132202 Ohms
2020-01-16 13:23:59 T: 27.40 degC, P: 1021.98 hPa, H: 32.45 %rH, G: 132098 Ohms
2020-01-16 13:23:54 T: 27.32 degC, P: 1021.96 hPa, H: 32.55 %rH, G: 132621 Ohms
2020-01-16 13:23:49 T: 27.24 degC, P: 1022.02 hPa, H: 32.63 %rH, G: 133254 Ohms
2020-01-16 13:23:44 T: 27.17 degC, P: 1022.02 hPa, H: 32.67 %rH, G: 134000 Ohms
2020-01-16 13:23:38 T: 27.14 degC, P: 1022.02 hPa, H: 32.71 %rH, G: 133679 Ohms
2020-01-16 13:23:33 T: 27.10 degC, P: 1022.04 hPa, H: 32.82 %rH, G: 133466 Ohms
2020-01-16 13:23:28 T: 27.02 degC, P: 1021.98 hPa, H: 32.95 %rH, G: 132621 Ohms
2020-01-16 13:23:23 T: 26.91 degC, P: 1021.98 hPa, H: 33.10 %rH, G: 133679 Ohms
2020-01-16 13:23:18 T: 26.79 degC, P: 1021.98 hPa, H: 33.29 %rH, G: 134755 Ohms
2020-01-16 13:23:13 T: 26.65 degC, P: 1021.98 hPa, H: 33.52 %rH, G: 135737 Ohms
2020-01-16 13:23:08 T: 26.49 degC, P: 1021.98 hPa, H: 33.69 %rH, G: 135628 Ohms
2020-01-16 13:23:03 T: 26.36 degC, P: 1021.96 hPa, H: 33.85 %rH, G: 135299 Ohms
2020-01-16 13:22:58 T: 26.25 degC, P: 1022.00 hPa, H: 33.98 %rH, G: 136179 Ohms
2020-01-16 13:22:53 T: 26.15 degC, P: 1021.98 hPa, H: 34.15 %rH, G: 137634 Ohms
2020-01-16 13:22:48 T: 26.04 degC, P: 1022.00 hPa, H: 34.26 %rH, G: 136735 Ohms
2020-01-16 13:22:43 T: 25.96 degC, P: 1021.98 hPa, H: 34.32 %rH, G: 136846 Ohms
2020-01-16 13:22:38 T: 25.94 degC, P: 1021.98 hPa, H: 34.39 %rH, G: 136735 Ohms
2020-01-16 13:22:33 T: 25.92 degC, P: 1022.00 hPa, H: 34.56 %rH, G: 137070 Ohms
2020-01-16 13:22:28 T: 25.91 degC, P: 1022.00 hPa, H: 34.72 %rH, G: 136512 Ohms
2020-01-16 13:22:23 T: 25.89 degC, P: 1022.00 hPa, H: 34.90 %rH, G: 137295 Ohms
2020-01-16 13:22:18 T: 25.88 degC, P: 1022.02 hPa, H: 35.17 %rH, G: 136290 Ohms
2020-01-16 13:22:13 T: 25.88 degC, P: 1022.02 hPa, H: 35.50 %rH, G: 135737 Ohms
2020-01-16 13:22:08 T: 25.89 degC, P: 1022.00 hPa, H: 35.63 %rH, G: 134646 Ohms
2020-01-16 13:22:03 T: 25.94 degC, P: 1022.00 hPa, H: 34.10 %rH, G: 134538 Ohms
2020-01-16 13:21:58 T: 26.09 degC, P: 1021.98 hPa, H: 33.74 %rH, G: 136179 Ohms
2020-01-16 13:21:53 T: 26.22 degC, P: 1021.98 hPa, H: 33.54 %rH, G: 134863 Ohms
2020-01-16 13:21:48 T: 26.36 degC, P: 1021.98 hPa, H: 33.33 %rH, G: 134972 Ohms
2020-01-16 13:21:43 T: 26.49 degC, P: 1021.98 hPa, H: 33.10 %rH, G: 134215 Ohms
2020-01-16 13:21:38 T: 26.64 degC, P: 1022.00 hPa, H: 32.86 %rH, G: 133254 Ohms
2020-01-16 13:21:33 T: 26.80 degC, P: 1022.02 hPa, H: 32.66 %rH, G: 132831 Ohms
2020-01-16 13:21:28 T: 26.96 degC, P: 1022.04 hPa, H: 32.45 %rH, G: 132726 Ohms
2020-01-16 13:21:23 T: 27.12 degC, P: 1022.04 hPa, H: 32.28 %rH, G: 130962 Ohms
2020-01-16 13:21:18 T: 27.28 degC, P: 1022.02 hPa, H: 32.16 %rH, G: 131994 Ohms
2020-01-16 13:21:13 T: 27.45 degC, P: 1022.04 hPa, H: 32.04 %rH, G: 129845 Ohms
2020-01-16 13:21:08 T: 27.61 degC, P: 1022.00 hPa, H: 31.89 %rH, G: 129544 Ohms
2020-01-16 13:21:03 T: 27.77 degC, P: 1021.98 hPa, H: 31.78 %rH, G: 127863 Ohms
2020-01-16 13:20:58 T: 27.92 degC, P: 1021.98 hPa, H: 31.74 %rH, G: 127960 Ohms
2020-01-16 13:20:53 T: 28.07 degC, P: 1021.96 hPa, H: 31.80 %rH, G: 126130 Ohms
2020-01-16 13:20:48 T: 28.19 degC, P: 1021.98 hPa, H: 32.01 %rH, G: 125751 Ohms
2020-01-16 13:20:43 T: 28.30 degC, P: 1021.96 hPa, H: 32.21 %rH, G: 123525 Ohms
2020-01-16 13:20:38 T: 28.37 degC, P: 1022.00 hPa, H: 30.92 %rH, G: 124535 Ohms
2020-01-16 13:20:33 T: 28.39 degC, P: 1022.00 hPa, H: 30.70 %rH, G: 126511 Ohms
2020-01-16 13:20:28 T: 28.39 degC, P: 1022.00 hPa, H: 30.74 %rH, G: 126511 Ohms
2020-01-16 13:20:23 T: 28.38 degC, P: 1021.98 hPa, H: 30.77 %rH, G: 126511 Ohms
2020-01-16 13:20:18 T: 28.34 degC, P: 1021.98 hPa, H: 30.78 %rH, G: 126320 Ohms
2020-01-16 13:20:13 T: 28.31 degC, P: 1022.00 hPa, H: 30.82 %rH, G: 126511 Ohms
2020-01-16 13:20:08 T: 28.27 degC, P: 1022.00 hPa, H: 30.87 %rH, G: 126990 Ohms
2020-01-16 13:20:03 T: 28.23 degC, P: 1022.00 hPa, H: 30.93 %rH, G: 127668 Ohms
2020-01-16 13:19:58 T: 28.18 degC, P: 1021.98 hPa, H: 30.94 %rH, G: 127668 Ohms
2020-01-16 13:19:52 T: 28.16 degC, P: 1021.98 hPa, H: 30.95 %rH, G: 127473 Ohms
2020-01-16 13:19:47 T: 28.15 degC, P: 1022.00 hPa, H: 30.98 %rH, G: 127280 Ohms
2020-01-16 13:19:42 T: 28.14 degC, P: 1022.00 hPa, H: 31.01 %rH, G: 128058 Ohms
2020-01-16 13:19:37 T: 28.13 degC, P: 1022.00 hPa, H: 31.01 %rH, G: 128156 Ohms
2020-01-16 13:19:32 T: 28.11 degC, P: 1022.02 hPa, H: 31.00 %rH, G: 128550 Ohms
2020-01-16 13:19:27 T: 28.08 degC, P: 1021.98 hPa, H: 31.00 %rH, G: 128451 Ohms
2020-01-16 13:19:22 T: 28.05 degC, P: 1022.00 hPa, H: 31.05 %rH, G: 129344 Ohms
2020-01-16 13:19:17 T: 28.01 degC, P: 1022.00 hPa, H: 31.07 %rH, G: 128451 Ohms
2020-01-16 13:19:12 T: 27.97 degC, P: 1022.04 hPa, H: 31.10 %rH, G: 130148 Ohms
2020-01-16 13:19:07 T: 27.94 degC, P: 1022.04 hPa, H: 31.08 %rH, G: 129244 Ohms
2020-01-16 13:19:02 T: 27.95 degC, P: 1022.06 hPa, H: 31.10 %rH, G: 129444 Ohms
2020-01-16 13:18:57 T: 27.96 degC, P: 1022.06 hPa, H: 31.14 %rH, G: 128747 Ohms
2020-01-16 13:18:52 T: 27.95 degC, P: 1022.06 hPa, H: 31.17 %rH, G: 129244 Ohms
2020-01-16 13:18:47 T: 27.95 degC, P: 1022.04 hPa, H: 31.15 %rH, G: 129045 Ohms
2020-01-16 13:18:42 T: 27.97 degC, P: 1022.04 hPa, H: 31.16 %rH, G: 128846 Ohms
2020-01-16 13:18:37 T: 27.99 degC, P: 1022.04 hPa, H: 31.14 %rH, G: 128648 Ohms
2020-01-16 13:18:32 T: 28.02 degC, P: 1022.04 hPa, H: 31.13 %rH, G: 128254 Ohms
2020-01-16 13:18:27 T: 28.03 degC, P: 1022.04 hPa, H: 31.12 %rH, G: 127765 Ohms
2020-01-16 13:18:22 T: 28.04 degC, P: 1022.04 hPa, H: 31.11 %rH, G: 128846 Ohms
2020-01-16 13:18:17 T: 28.05 degC, P: 1022.02 hPa, H: 31.14 %rH, G: 128451 Ohms
2020-01-16 13:18:12 T: 28.05 degC, P: 1022.02 hPa, H: 31.15 %rH, G: 127863 Ohms
2020-01-16 13:18:07 T: 28.04 degC, P: 1022.04 hPa, H: 31.12 %rH, G: 128550 Ohms
2020-01-16 13:18:02 T: 28.04 degC, P: 1022.04 hPa, H: 31.11 %rH, G: 127863 Ohms
2020-01-16 13:17:57 T: 28.05 degC, P: 1022.04 hPa, H: 31.15 %rH, G: 128846 Ohms
2020-01-16 13:17:52 T: 28.04 degC, P: 1022.04 hPa, H: 31.18 %rH, G: 128451 Ohms
2020-01-16 13:17:47 T: 28.03 degC, P: 1022.06 hPa, H: 31.20 %rH, G: 128451 Ohms
2020-01-16 13:17:42 T: 28.03 degC, P: 1022.08 hPa, H: 31.22 %rH, G: 128648 Ohms
2020-01-16 13:17:37 T: 28.03 degC, P: 1022.06 hPa, H: 31.24 %rH, G: 127280 Ohms
2020-01-16 13:17:32 T: 28.03 degC, P: 1022.06 hPa, H: 31.23 %rH, G: 128058 Ohms
2020-01-16 13:17:27 T: 28.03 degC, P: 1022.06 hPa, H: 31.21 %rH, G: 127376 Ohms
2020-01-16 13:17:22 T: 28.04 degC, P: 1022.04 hPa, H: 31.23 %rH, G: 127960 Ohms
2020-01-16 13:17:17 T: 28.03 degC, P: 1022.06 hPa, H: 31.23 %rH, G: 127570 Ohms
2020-01-16 13:17:12 T: 28.02 degC, P: 1022.04 hPa, H: 31.19 %rH, G: 127668 Ohms
2020-01-16 13:17:07 T: 28.06 degC, P: 1022.02 hPa, H: 31.12 %rH, G: 127183 Ohms
2020-01-16 13:17:02 T: 28.10 degC, P: 1022.04 hPa, H: 31.08 %rH, G: 127183 Ohms
2020-01-16 13:16:57 T: 28.13 degC, P: 1022.04 hPa, H: 31.07 %rH, G: 126894 Ohms
2020-01-16 13:16:52 T: 28.17 degC, P: 1022.00 hPa, H: 31.04 %rH, G: 128156 Ohms
2020-01-16 13:16:47 T: 28.19 degC, P: 1022.02 hPa, H: 31.03 %rH, G: 126511 Ohms
2020-01-16 13:16:42 T: 28.21 degC, P: 1022.04 hPa, H: 31.04 %rH, G: 126320 Ohms
2020-01-16 13:16:37 T: 28.20 degC, P: 1022.02 hPa, H: 30.99 %rH, G: 126798 Ohms
2020-01-16 13:16:32 T: 28.24 degC, P: 1022.04 hPa, H: 30.95 %rH, G: 127086 Ohms
2020-01-16 13:16:27 T: 28.28 degC, P: 1022.04 hPa, H: 30.94 %rH, G: 126415 Ohms
2020-01-16 13:16:22 T: 28.31 degC, P: 1022.04 hPa, H: 30.92 %rH, G: 125751 Ohms
2020-01-16 13:16:17 T: 28.33 degC, P: 1022.04 hPa, H: 30.90 %rH, G: 125940 Ohms
2020-01-16 13:16:12 T: 28.34 degC, P: 1022.04 hPa, H: 30.91 %rH, G: 126798 Ohms
2020-01-16 13:16:06 T: 28.33 degC, P: 1022.02 hPa, H: 30.89 %rH, G: 125845 Ohms
2020-01-16 13:16:01 T: 28.36 degC, P: 1022.02 hPa, H: 30.89 %rH, G: 126035 Ohms
2020-01-16 13:15:56 T: 28.37 degC, P: 1022.06 hPa, H: 30.92 %rH, G: 125656 Ohms
2020-01-16 13:15:51 T: 28.38 degC, P: 1022.04 hPa, H: 30.96 %rH, G: 125374 Ohms
2020-01-16 13:15:46 T: 28.38 degC, P: 1022.06 hPa, H: 31.00 %rH, G: 125468 Ohms
2020-01-16 13:15:41 T: 28.37 degC, P: 1022.06 hPa, H: 31.09 %rH, G: 125000 Ohms
2020-01-16 13:15:36 T: 28.34 degC, P: 1022.02 hPa, H: 31.11 %rH, G: 125656 Ohms
2020-01-16 13:15:31 T: 28.33 degC, P: 1022.06 hPa, H: 31.09 %rH, G: 125562 Ohms
2020-01-16 13:15:26 T: 28.35 degC, P: 1022.04 hPa, H: 31.09 %rH, G: 125374 Ohms
2020-01-16 13:15:21 T: 28.36 degC, P: 1022.02 hPa, H: 31.11 %rH, G: 125562 Ohms
2020-01-16 13:15:16 T: 28.36 degC, P: 1022.02 hPa, H: 31.14 %rH, G: 125187 Ohms
2020-01-16 13:15:11 T: 28.34 degC, P: 1022.02 hPa, H: 31.16 %rH, G: 125751 Ohms
2020-01-16 13:15:06 T: 28.31 degC, P: 1022.06 hPa, H: 31.19 %rH, G: 125751 Ohms
2020-01-16 13:15:01 T: 28.31 degC, P: 1022.06 hPa, H: 31.22 %rH, G: 125751 Ohms
2020-01-16 13:14:56 T: 28.30 degC, P: 1022.06 hPa, H: 31.30 %rH, G: 125751 Ohms
2020-01-16 13:14:51 T: 28.28 degC, P: 1022.06 hPa, H: 31.40 %rH, G: 125940 Ohms
2020-01-16 13:14:46 T: 28.23 degC, P: 1022.08 hPa, H: 31.50 %rH, G: 125468 Ohms
2020-01-16 13:14:41 T: 28.17 degC, P: 1022.06 hPa, H: 31.59 %rH, G: 126702 Ohms
2020-01-16 13:14:36 T: 28.12 degC, P: 1022.08 hPa, H: 31.64 %rH, G: 127183 Ohms
2020-01-16 13:14:31 T: 28.10 degC, P: 1022.08 hPa, H: 31.63 %rH, G: 126511 Ohms
2020-01-16 13:14:26 T: 28.10 degC, P: 1022.10 hPa, H: 31.66 %rH, G: 126035 Ohms
2020-01-16 13:14:21 T: 28.10 degC, P: 1022.08 hPa, H: 31.73 %rH, G: 126702 Ohms
2020-01-16 13:14:16 T: 28.08 degC, P: 1022.08 hPa, H: 31.81 %rH, G: 126606 Ohms
2020-01-16 13:14:11 T: 28.03 degC, P: 1022.12 hPa, H: 31.91 %rH, G: 127473 Ohms
2020-01-16 13:14:06 T: 27.96 degC, P: 1022.12 hPa, H: 32.01 %rH, G: 127863 Ohms
2020-01-16 13:14:01 T: 27.90 degC, P: 1022.12 hPa, H: 32.10 %rH, G: 127473 Ohms
2020-01-16 13:13:56 T: 27.83 degC, P: 1022.12 hPa, H: 32.18 %rH, G: 128648 Ohms
2020-01-16 13:13:51 T: 27.78 degC, P: 1022.12 hPa, H: 32.22 %rH, G: 129045 Ohms
2020-01-16 13:13:46 T: 27.75 degC, P: 1022.12 hPa, H: 32.26 %rH, G: 128747 Ohms
2020-01-16 13:13:41 T: 27.73 degC, P: 1022.12 hPa, H: 32.37 %rH, G: 128451 Ohms
2020-01-16 13:13:36 T: 27.70 degC, P: 1022.14 hPa, H: 32.45 %rH, G: 129344 Ohms
2020-01-16 13:13:31 T: 27.66 degC, P: 1022.14 hPa, H: 32.51 %rH, G: 129845 Ohms
2020-01-16 13:13:26 T: 27.61 degC, P: 1022.12 hPa, H: 32.63 %rH, G: 129244 Ohms
2020-01-16 13:13:21 T: 27.54 degC, P: 1022.16 hPa, H: 32.77 %rH, G: 129946 Ohms
2020-01-16 13:13:16 T: 27.46 degC, P: 1022.16 hPa, H: 32.96 %rH, G: 130047 Ohms
2020-01-16 13:13:11 T: 27.37 degC, P: 1022.14 hPa, H: 33.16 %rH, G: 130249 Ohms
2020-01-16 13:13:06 T: 27.25 degC, P: 1022.18 hPa, H: 33.46 %rH, G: 130350 Ohms
2020-01-16 13:13:01 T: 27.09 degC, P: 1022.18 hPa, H: 33.77 %rH, G: 130249 Ohms
2020-01-16 13:12:56 T: 26.92 degC, P: 1022.16 hPa, H: 34.11 %rH, G: 131270 Ohms
2020-01-16 13:12:50 T: 26.77 degC, P: 1022.18 hPa, H: 34.50 %rH, G: 132202 Ohms
2020-01-16 13:12:45 T: 26.59 degC, P: 1022.18 hPa, H: 34.90 %rH, G: 133042 Ohms
2020-01-16 13:12:40 T: 26.42 degC, P: 1022.18 hPa, H: 35.22 %rH, G: 131167 Ohms
2020-01-16 13:12:35 T: 26.24 degC, P: 1022.16 hPa, H: 35.30 %rH, G: 134000 Ohms
2020-01-16 13:12:30 T: 26.09 degC, P: 1022.16 hPa, H: 34.97 %rH, G: 133254 Ohms
2020-01-16 13:12:25 T: 25.95 degC, P: 1022.18 hPa, H: 34.89 %rH, G: 136512 Ohms
2020-01-16 13:12:20 T: 25.83 degC, P: 1022.16 hPa, H: 35.01 %rH, G: 136846 Ohms
2020-01-16 13:12:15 T: 25.74 degC, P: 1022.20 hPa, H: 35.17 %rH, G: 137860 Ohms
2020-01-16 13:12:10 T: 25.65 degC, P: 1022.20 hPa, H: 35.36 %rH, G: 137974 Ohms
2020-01-16 13:12:05 T: 25.53 degC, P: 1022.20 hPa, H: 35.54 %rH, G: 137974 Ohms
2020-01-16 13:12:00 T: 25.41 degC, P: 1022.24 hPa, H: 35.77 %rH, G: 139120 Ohms
2020-01-16 13:11:55 T: 25.28 degC, P: 1022.24 hPa, H: 36.00 %rH, G: 138659 Ohms
2020-01-16 13:11:50 T: 25.12 degC, P: 1022.22 hPa, H: 36.17 %rH, G: 139351 Ohms
2020-01-16 13:11:45 T: 24.99 degC, P: 1022.20 hPa, H: 36.37 %rH, G: 139933 Ohms
2020-01-16 13:11:40 T: 24.85 degC, P: 1022.24 hPa, H: 36.63 %rH, G: 140520 Ohms
2020-01-16 13:11:35 T: 24.71 degC, P: 1022.26 hPa, H: 36.86 %rH, G: 140638 Ohms
2020-01-16 13:11:30 T: 24.58 degC, P: 1022.26 hPa, H: 37.12 %rH, G: 140520 Ohms
2020-01-16 13:11:25 T: 24.43 degC, P: 1022.22 hPa, H: 37.40 %rH, G: 141470 Ohms
2020-01-16 13:11:20 T: 24.30 degC, P: 1022.24 hPa, H: 37.69 %rH, G: 141350 Ohms
2020-01-16 13:11:15 T: 24.19 degC, P: 1022.22 hPa, H: 37.89 %rH, G: 141949 Ohms
2020-01-16 13:11:10 T: 24.12 degC, P: 1022.20 hPa, H: 38.05 %rH, G: 141231 Ohms
2020-01-16 13:11:05 T: 24.12 degC, P: 1022.20 hPa, H: 37.65 %rH, G: 140520 Ohms
2020-01-16 13:11:00 T: 24.14 degC, P: 1022.20 hPa, H: 37.18 %rH, G: 142796 Ohms
2020-01-16 13:10:55 T: 24.18 degC, P: 1022.20 hPa, H: 37.05 %rH, G: 142675 Ohms
2020-01-16 13:10:50 T: 24.22 degC, P: 1022.22 hPa, H: 36.83 %rH, G: 141112 Ohms
2020-01-16 13:10:45 T: 24.27 degC, P: 1022.20 hPa, H: 36.70 %rH, G: 141829 Ohms
2020-01-16 13:10:40 T: 24.33 degC, P: 1022.22 hPa, H: 36.63 %rH, G: 141112 Ohms
2020-01-16 13:10:35 T: 24.38 degC, P: 1022.22 hPa, H: 36.56 %rH, G: 140402 Ohms
2020-01-16 13:10:30 T: 24.44 degC, P: 1022.24 hPa, H: 36.47 %rH, G: 140167 Ohms
2020-01-16 13:10:25 T: 24.50 degC, P: 1022.24 hPa, H: 36.36 %rH, G: 139933 Ohms
2020-01-16 13:10:20 T: 24.56 degC, P: 1022.22 hPa, H: 36.24 %rH, G: 138544 Ohms
2020-01-16 13:10:15 T: 24.62 degC, P: 1022.22 hPa, H: 36.08 %rH, G: 139120 Ohms
2020-01-16 13:10:10 T: 24.69 degC, P: 1022.20 hPa, H: 35.98 %rH, G: 138201 Ohms
2020-01-16 13:10:05 T: 24.76 degC, P: 1022.22 hPa, H: 35.87 %rH, G: 137183 Ohms
2020-01-16 13:10:00 T: 24.83 degC, P: 1022.20 hPa, H: 35.75 %rH, G: 136512 Ohms
2020-01-16 13:09:55 T: 24.91 degC, P: 1022.22 hPa, H: 35.60 %rH, G: 135408 Ohms
2020-01-16 13:09:50 T: 24.98 degC, P: 1022.22 hPa, H: 35.47 %rH, G: 134972 Ohms
2020-01-16 13:09:45 T: 25.06 degC, P: 1022.22 hPa, H: 35.35 %rH, G: 133148 Ohms
2020-01-16 13:09:40 T: 25.14 degC, P: 1022.22 hPa, H: 35.21 %rH, G: 130757 Ohms
2020-01-16 13:09:35 T: 25.23 degC, P: 1022.22 hPa, H: 35.09 %rH, G: 129444 Ohms
2020-01-16 13:09:30 T: 25.31 degC, P: 1022.22 hPa, H: 34.94 %rH, G: 127086 Ohms
2020-01-16 13:09:25 T: 25.38 degC, P: 1022.20 hPa, H: 34.78 %rH, G: 124628 Ohms
